Index,Link,Module,FullyTestName,Correctness,Reason,SHA,Fixed,Update,,Note
10,https://github.com/apache/hbase,hbase-server,org.apache.hadoop.hbase.snapshot.TestMobRestoreSnapshotHelper,Y,TestMobRestoreSnapshotHelper is class name. FullyTestName doesn't include method name,801fc05e9c082ab12c7c1207087d3667ab162d1a,,in progress,,snapShot
11,https://github.com/apache/incubator-dubbo,dubbo-config/dubbo-config-api,org.apache.dubbo.generic.GenericServiceTest.testGeneric2,Y,Incorrect module name(should be dubbo-compatible instead of dubbo-config/dubbo-config-api),737f7a7ea67832d7f17517326fb2491d0a086dd7,Y,,,
12,https://github.com/apache/incubator-ratis,ratis-hadoop,org.apache.ratis.hadooprpc.TestLeaderElectionWithHadoopRpc.testChangeLeader,N,"Super class issue: public class TestLeaderElectionWithHadoopRpc (Line changed!!)
 extends LeaderElectionTests<MiniRaftClusterWithHadoopRpc>
 implements MiniRaftClusterWithHadoopRpc.Factory.Get",bc9d7615d8ffa30e79a36b9fd1950af38f0f6a49,Y,,,
13,https://github.com/apache/incubator-ratis,ratis-hadoop,org.apache.ratis.hadooprpc.TestRaftExceptionWithHadoopRpc.testHandleNotLeaderException,N,Same reason as 12,bc9d7615d8ffa30e79a36b9fd1950af38f0f6a50,Y,,,
14,https://github.com/apache/incubator-ratis,ratis-hadoop,org.apache.ratis.hadooprpc.TestRaftReconfigurationWithHadoopRpc.testBootstrapReconf,N,Same reason as 12 (Line changed),bc9d7615d8ffa30e79a36b9fd1950af38f0f6a51,Y,,,
15,https://github.com/apache/incubator-ratis,ratis-hadoop,org.apache.ratis.hadooprpc.TestRaftReconfigurationWithHadoopRpc.testBootstrapReconfWithSingleNodeAddOne,N,Same reason as 12 (Line changed),bc9d7615d8ffa30e79a36b9fd1950af38f0f6a52,Y,,,
16,https://github.com/apache/incubator-ratis,ratis-hadoop,org.apache.ratis.hadooprpc.TestRaftReconfigurationWithHadoopRpc.testBootstrapReconfWithSingleNodeAddTwo,N,Same reason as 12(Line changed),bc9d7615d8ffa30e79a36b9fd1950af38f0f6a53,Y,,,
17,https://github.com/apache/incubator-ratis,ratis-hadoop,org.apache.ratis.hadooprpc.TestRaftReconfigurationWithHadoopRpc.testLeaderNotReadyException,N,Same reason as 12 (Line changed),bc9d7615d8ffa30e79a36b9fd1950af38f0f6a54,Y,,,
18,https://github.com/apache/incubator-ratis,ratis-hadoop,org.apache.ratis.hadooprpc.TestRaftReconfigurationWithHadoopRpc.testNoChangeRequest,N,Same reason as 12 (Line changed),bc9d7615d8ffa30e79a36b9fd1950af38f0f6a55,Y,,,
19,https://github.com/apache/incubator-ratis,ratis-hadoop,org.apache.ratis.hadooprpc.TestRaftReconfigurationWithHadoopRpc.testReconfTwice,N,Same reason as 12 (Line changed),bc9d7615d8ffa30e79a36b9fd1950af38f0f6a56,Y,,,
20,https://github.com/apache/incubator-ratis,ratis-hadoop,org.apache.ratis.hadooprpc.TestRaftWithHadoopRpc.testBasicAppendEntries,N,Same reason as 12 (Line changed),bc9d7615d8ffa30e79a36b9fd1950af38f0f6a57,Y,,,
21,https://github.com/apache/incubator-ratis,ratis-hadoop,org.apache.ratis.hadooprpc.TestRaftWithHadoopRpc.testBasicAppendEntriesKillLeader,N,Same reason as 12 (Line changed),bc9d7615d8ffa30e79a36b9fd1950af38f0f6a58,Y,,,
22,https://github.com/apache/incubator-ratis,ratis-hadoop,org.apache.ratis.hadooprpc.TestRetryCacheWithHadoopRpc.testBasicRetry,N,Same reason as 12 (Line changed),bc9d7615d8ffa30e79a36b9fd1950af38f0f6a59,Y,,,
23,https://github.com/apache/incubator-ratis,ratis-hadoop,org.apache.ratis.hadooprpc.TestRetryCacheWithHadoopRpc.testRetryOnNewLeader,N,Same reason as 12 (Line changed),bc9d7615d8ffa30e79a36b9fd1950af38f0f6a60,Y,,,
24,https://github.com/apache/nifi-registry,nifi-registry-core/nifi-registry-web-api,org.apache.nifi.registry.security.authorization.ResourceAuthorizationFilterSpec.secure requests to an unguarded resource are allowed without an authorization check,Y,File missing,f1e5aef7bef7d4f5ec89b2347e6a6c7e78aa589c,Y,strange name,,
25,https://github.com/ctco/cukes,cukes-core,"lv.ctco.cukes.core.RunCukesTest.When let variable ""var1"" to be random password with length 8",Y,Method name incorrect,b483e1a8f261b80a66291a42fc455256b0b5059c,,strange name,,RunCuck
26,https://github.com/ctco/cukes,cukes-core,"lv.ctco.cukes.oauth.sample.RunCukesOAuthTest.And response contains ""Read success""",Y,Method name incorrect,b483e1a8f261b80a66291a42fc455256b0b5060c,,strange name,,RunCuck
27,https://github.com/ctco/cukes,cukes-core,"lv.ctco.cukes.rabbitmq.RunCukesRabbmitMQTest.And content-type is ""application/json""",Y,Method name incorrect,b483e1a8f261b80a66291a42fc455256b0b5061c,,strange name,,RunCuck
28,Wrong read,,,,,,,strange name,,zhangxd1989spring-boot-cloud
29,https://github.com/ctco/cukes,cukes-core,lv.ctco.cukes.plugins.RunCukesTest.Given wait for 1 second,Y,Method name incorrect,b483e1a8f261b80a66291a42fc455256b0b5061c,,strange name,,RunCuck
30,https://github.com/JodaOrg/joda-time,,org.joda.time.TestAllPackages.test_DateTime_minusDay_Gaza,Y,Method doesn't exist: should be in TestDateTimeZoneCutover.java,d1ea2a53929d7d56d4f4560852e5586517a0dd47,Y,should be in TestDateTimeZoneCutover.java,,
31,https://github.com/jrtom/jung,jung-algorithms,edu.uci.ics.jung.algorithms.shortestpath.testDAG,Y,File missing,1f579fe5d74ecbaecbe32ce6762e1fa9e17ed225,Y,"Correct Path: jung-algorithms/src/test/java/edu/uci/ics/jung/algorithms/shortestpath/TestMinimumSpanningTree.java
",,
32,https://github.com/phax/as2-lib,,MongoDBPartnershipFactorySpec.add a Partnership,Y,File missing,a5b4ba5d5b110e649770609e803338763bec8c39,,strange name,,aaa
33,https://github.com/pholser/junit-quickcheck,core,com.pholser.junit.quickcheck.generator.java.util.ListOfSuperLongPropertyParameterTest.producesExpectedRandomValues,N,Same reason as 12,9361b6dae25b193782604d071754eb7fc566390a,Y,,,
34,https://github.com/pholser/junit-quickcheck,core,com.pholser.junit.quickcheck.generator.java.util.SetOfSuperFloatPropertyParameterTest.producesExpectedRandomValues,N,Same reason as 12,9361b6dae25b193782604d071754eb7fc566391a,Y,,,
35,https://github.com/pinterest/secor,,Test mechanism.Test mechanism,Y,Test name error,a76fe9fedfa0571347d0b5465b3c40c83dd3c949,,,,TestTest
36,https://github.com/ripe-ncc/whois,whois-endtoend,net.ripe.db.whois.spec.domain.AckResponseTest.successes,Y,File missing,79e90f41d7eeee42f2c3ad299bfccc4e8005ce8c,,"Path:whois-endtoend/src/test/groovy/net/ripe/db/whois/spec/domain/AckResponseTest.groovy
",,
37,https://github.com/spotify/dbeam,dbeam-core,com.spotify.dbeam.args.JdbcExportArgsTest.should parse correctly for mysql connection,Y,Test name error,70837e8f610c16c012be424341857236d4242785,,,,JDB
38,https://github.com/spring-projects/spring-data-rest,spring-data-rest-webmvc,org.springframework.data.rest.webmvc.config.RepositoryRestMvConfigurationIntegrationTests.,Y,Test name error,38f2bc4598265890e765a34d18962911916b7ace,,,,Repo
39,https://github.com/spring-projects/spring-ws,spring-ws-core,org.springframework.ws.client.core.AxiomNonStreamingSoap11WebServiceTemplateIntegrationTest.attachment,N,Same reason as 12(Line changed),e8d89c9eb0929dda304174729c9c69fb29f448eb,Y,,,
40,https://github.com/spring-projects/spring-ws,spring-ws-core,org.springframework.ws.client.core.AxiomNonStreamingSoap11WebServiceTemplateIntegrationTest.fault,N,Same reason as 12(Line changed),e8d89c9eb0929dda304174729c9c69fb29f449eb,Y,,,
41,https://github.com/spring-projects/spring-ws,spring-ws-core,org.springframework.ws.client.core.AxiomNonStreamingSoap11WebServiceTemplateIntegrationTest.faultNonCompliant,N,Same reason as 12(Line changed),e8d89c9eb0929dda304174729c9c69fb29f450eb,Y,,,
42,https://github.com/spring-projects/spring-ws,spring-ws-core,org.springframework.ws.client.core.AxiomNonStreamingSoap11WebServiceTemplateIntegrationTest.marshalSendAndReceiveNoResponse,N,Same reason as 12(Line changed),e8d89c9eb0929dda304174729c9c69fb29f451eb,Y,,,
43,https://github.com/spring-projects/spring-ws,spring-ws-core,org.springframework.ws.client.core.AxiomNonStreamingSoap11WebServiceTemplateIntegrationTest.marshalSendAndReceiveResponse,N,Same reason as 12(Line changed),e8d89c9eb0929dda304174729c9c69fb29f452eb,Y,,,
44,https://github.com/spring-projects/spring-ws,spring-ws-core,org.springframework.ws.client.core.AxiomNonStreamingSoap11WebServiceTemplateIntegrationTest.notFound,N,Same reason as 12(Line changed),e8d89c9eb0929dda304174729c9c69fb29f453eb,Y,,,
45,https://github.com/spring-projects/spring-ws,spring-ws-core,org.springframework.ws.client.core.AxiomNonStreamingSoap11WebServiceTemplateIntegrationTest.sendSourceAndReceiveToResultNoResponse,N,Same reason as 12(Line changed),e8d89c9eb0929dda304174729c9c69fb29f454eb,Y,,,
46,https://github.com/spring-projects/spring-ws,spring-ws-core,org.springframework.ws.client.core.AxiomNonStreamingSoap12WebServiceTemplateIntegrationTest.attachment,N,Same reason as 12(Line changed),e8d89c9eb0929dda304174729c9c69fb29f455eb,Y,,,
47,https://github.com/spring-projects/spring-ws,spring-ws-core,org.springframework.ws.client.core.AxiomNonStreamingSoap12WebServiceTemplateIntegrationTest.marshalSendAndReceiveNoResponse,N,Same reason as 12(Line changed),e8d89c9eb0929dda304174729c9c69fb29f456eb,Y,,,
48,https://github.com/spring-projects/spring-ws,spring-ws-core,org.springframework.ws.client.core.AxiomNonStreamingSoap12WebServiceTemplateIntegrationTest.marshalSendAndReceiveResponse,N,Same reason as 12(Line changed),e8d89c9eb0929dda304174729c9c69fb29f457eb,Y,,,
49,https://github.com/spring-projects/spring-ws,spring-ws-core,org.springframework.ws.client.core.AxiomNonStreamingSoap12WebServiceTemplateIntegrationTest.notFound,N,Same reason as 12(Line changed),e8d89c9eb0929dda304174729c9c69fb29f458eb,Y,,,
50,https://github.com/spring-projects/spring-ws,spring-ws-core,org.springframework.ws.client.core.AxiomNonStreamingSoap12WebServiceTemplateIntegrationTest.receiverFault,N,Same reason as 12(Line changed),e8d89c9eb0929dda304174729c9c69fb29f459eb,Y,,,
51,https://github.com/spring-projects/spring-ws,spring-ws-core,org.springframework.ws.client.core.AxiomNonStreamingSoap12WebServiceTemplateIntegrationTest.senderFault,N,Same reason as 12(Line changed),e8d89c9eb0929dda304174729c9c69fb29f460eb,Y,,,
52,https://github.com/spring-projects/spring-ws,spring-ws-core,org.springframework.ws.client.core.AxiomNonStreamingSoap12WebServiceTemplateIntegrationTest.sendSourceAndReceiveToResult,N,Same reason as 12(Line changed),e8d89c9eb0929dda304174729c9c69fb29f461eb,Y,,,
53,https://github.com/spring-projects/spring-ws,spring-ws-core,org.springframework.ws.client.core.AxiomNonStreamingSoap12WebServiceTemplateIntegrationTest.sendSourceAndReceiveToResultNoResponse,N,Same reason as 12(Line changed),e8d89c9eb0929dda304174729c9c69fb29f462eb,Y,,,
54,https://github.com/undertow-io/undertow,websockets-jsr,io.undertow.websockets.jsr.test.JsrWebSocketServer08Test.testErrorHandling,N,Super class issue: JsrWebSocketServer08Test extends JsrWebSocketServer07Test{,d0efffad5d2034bb07525cac9b299dac72c3045d,Y,,,
55,https://github.com/undertow-io/undertow,websockets-jsr,io.undertow.websockets.jsr.test.JsrWebSocketServer13Test.testErrorHandling,N,Super class issue: JsrWebSocketServer08Test extends JsrWebSocketServer07Test{,d0efffad5d2034bb07525cac9b299dac72c3045d,Y,,,
56,https://github.com/wildfly/wildfly,security/subsystem,org.jboss.as.security.SecurityDomainModelv12UnitTestCase.testSubsystem,Not sure,Method doesn't exist,b19048b72669fc0e96665b1b125dc1fda21f5993,,In many classes; unzip needed maybe,,
57,https://github.com/wildfly/wildfly-maven-plugin,tests/standalone-tests,org.wildfly.plugin.deployment.DeployTest.testDeployOnly,Y,Module name should be tests/domain-tests,0dda0062d660813c469040f60999aac76660e1f4,Y,"tests/domain-tests/src/test/java/org/wildfly/plugin/deployment/DeployTest.java
",,
58,https://github.com/winder/Universal-G-Code-Sender,ugs-platform/application,org.netbeans.junit.NbModuleSuite$S.org.netbeans.junit.NbModuleSuite$S@79b4d0f,Y,Test name error,4426f71c900ddd4a1eeb3957f3275cedc6312534,,,,
59,https://github.com/wso2/balana,modules/balana-core,org.wso2.balana.BaseTestCase.testConformanceTestB,Y,Method doesn't exist,9088b3a079ac227a10d07707f571cc5b205dca98,Y,"modules/balana-core/src/test/java/org/wso2/balana/conformance/ConformanceTestV2.java
",,
